key,category,status,notes
CLAUDE_CODE_USE_BEDROCK,bedrock,bypass,"Direct-Bedrock switch; gateway path uses the Anthropic-native route so this is removed from settings and reported by verify."
ANTHROPIC_BEDROCK_BASE_URL,bedrock,bypass,"Direct-Bedrock endpoint override; removed from settings on the gateway path."
CLAUDE_CODE_USE_MANTLE,bedrock,documented,"Route through the Mantle endpoint; part of the surface but not set on the gateway path."
ANTHROPIC_BEDROCK_MANTLE_BASE_URL,bedrock,documented,"Mantle endpoint base-URL override."
CLAUDE_CODE_SKIP_MANTLE_AUTH,bedrock,documented,"Skip client-side Mantle auth (gateway injects creds server-side)."
CLAUDE_CODE_DISABLE_BEDROCK_CONTENT_TYPE_GUARD,bedrock,documented,"Skip the Bedrock streaming content-type guard when a gateway rewrites only the header (T1.3)."
CLAUDE_CODE_SKIP_AWS_CRED_CACHE,bedrock,documented,"Resolve the AWS credential chain on every request instead of caching."
CLAUDE_CODE_AWS_CHAIN_RESOLVE_TIMEOUT_MS,bedrock,documented,"AWS credential-chain resolution timeout in ms."
ANTHROPIC_BEDROCK_REGION_PREFIX,bedrock,documented,"Cross-region inference-profile prefix (us/eu/apac/jp/au/global)."
ANTHROPIC_BEDROCK_SERVICE_TIER,bedrock,documented,"Bedrock service tier (default/flex/priority)."
AWS_REGION,region,documented,"Primary AWS region for direct-Bedrock/Mantle calls."
AWS_DEFAULT_REGION,region,documented,"AWS region fallback below AWS_REGION in the resolution order (T1.3)."
ANTHROPIC_SMALL_FAST_MODEL_AWS_REGION,region,documented,"Region override for the small/fast (Haiku-class) model."
AWS_PROFILE,auth,documented,"AWS credential profile for direct-Bedrock auth."
AWS_BEARER_TOKEN_BEDROCK,auth,documented,"Bedrock API-key bearer token; not used on the gateway path."
AWS_SHARED_CREDENTIALS_FILE,auth,documented,"Path to a non-default AWS shared credentials file for region/creds resolution (T1.3)."
AWS_CONFIG_FILE,auth,documented,"Path to a non-default AWS config file for region/creds resolution (T1.3)."
AWS_ACCESS_KEY_ID,auth,gap,"Generic AWS SDK credential-chain material; standard SDK plumbing unused on the gateway path — intentionally not catalogued."
AWS_SECRET_ACCESS_KEY,auth,gap,"Generic AWS SDK credential-chain material; standard SDK plumbing unused on the gateway path — intentionally not catalogued."
AWS_SESSION_TOKEN,auth,gap,"Generic AWS SDK credential-chain material; standard SDK plumbing unused on the gateway path — intentionally not catalogued."
ANTHROPIC_MODEL,model,documented,"Primary-model override via env (append [1m] for 1M context)."
ANTHROPIC_SMALL_FAST_MODEL,model,documented,"Deprecated small/fast (Haiku-class) model selector (T1.3)."
ANTHROPIC_DEFAULT_OPUS_MODEL,model,owned,"Opus pin; written to user settings when supplied to setup (must be a gateway alias)."
ANTHROPIC_DEFAULT_SONNET_MODEL,model,owned,"Sonnet pin; written to user settings when supplied to setup (must be a gateway alias)."
ANTHROPIC_DEFAULT_HAIKU_MODEL,model,owned,"Haiku pin; written to user settings when supplied to setup (must be a gateway alias)."
DISABLE_PROMPT_CACHING,caching,documented,"Disable prompt caching entirely."
ENABLE_PROMPT_CACHING_1H,caching,documented,"Opt into the 1-hour prompt-cache TTL."
ANTHROPIC_CUSTOM_HEADERS,guardrails,passthrough,"Custom request headers (e.g. Bedrock Guardrails); supplied via site_extra, sensitive."
CLAUDE_CONFIG_DIR,ui,gap,"General Claude Code config-dir override (not Bedrock-specific); gateway-cli writes fixed paths — intentionally not catalogued."
